id,name,address,rating,review_count,lat,lon,tit1,tit2,zipcodes
JpS5OKx_2mNTGAJcaFgL1g,Sattdown Jamaican Grill,"11320 Ventura Blvd  Studio City, CA 91604",4.0,670,34.14013189999999,-118.37677509999999,Caribbean, Seafood,91604
JPsjC7sLdQHhwcEqA6Fnyg,FoodShop,"Los Angeles, CA 90291",4.5,21,33.99528716,-118.4731993,American (Traditional), ,90291
jPt3WacOPeTqqLpjlRODpw,Delicious Table,"7875 Commonwealth Ave  Buena Park, CA 90621",3.5,109,33.8700049,-117.9956463,Korean, Comfort Food,90621
jpv2q8kQPr_4rsq1EafYfw,Ho Ho Fu BBQ Dimsum,"420 Ord St  Ste 101  Los Angeles, CA 90012",2.5,2,34.060359999999996,-118.24014299999999,Chinese, ,90012
jPVLq4PeUbzmEJ4roJ3UdA,Burger Spot,"1815 Hawthorne Blvd  Redondo Beach, CA 90278",3.5,29,33.87141,-118.35468999999999,Burgers, Halal,90278
jpwWuArQhUFYKS0qLDMmZQ,Pizza Hut,"12217 Santa Monica Blvd  Los Angeles, CA 90025",2.0,114,34.040077000000004,-118.4650404,Pizza, Italian,90025
JpZrmWbQs6QyFxIMikKVWA,Umami Burger - Arts District,"738 E 3rd St  Los Angeles, CA 90013",3.5,740,34.04546,-118.23666000000001,American (New), Burgers,90013
Jq0xpSu3g_4_xjntiumLXg,L&L Hawaiian Barbecue,"954 N Main St  El Segundo, CA 90245",3.0,166,33.93064399,-118.4159875,Hawaiian, Barbeque,90245
Jq27mDh3XzzzHhuRwBNMfg,Side Walk Cafe,"537 S Crocker St  Los Angeles, CA 90013",4.0,2,34.042675,-118.2436905,Food Stands, Mexican,90013
JQ2SH4UTmFuYPevhlCGx2Q,Midici Woodfired Pizza & Kitchen,"4429 W El Segundo Blvd  Hawthorne, CA 90250",4.0,29,33.917037,-118.3537517,Pizza, Italian,90250
JqbQpdtyBWcAZfhGhpMqLQ,El Pollo Loco,"125 E Imperial Hwy  Fullerton, CA 92835",3.0,84,33.91748216,-117.9326963,Fast Food, Mexican,92835
jqbwDnAmNUF6ORZwUS6Fhw,Twisted Chili,"1200 N State St  Los Angeles, CA 90033",2.0,14,34.05828104,-118.2078159,Cafeteria, Mexican,90033
JqEEiHdVf_bp_wq0eFeLNQ,Pho Kobe,"1441 W Knox St  Torrance, CA 90501",3.5,206,33.854801200000004,-118.3000412,Vietnamese, ,90501
JqERGAguN9CnGLTcUOWniw,Maria's Tortillas,"5606 W Manchester Ave  Los Angeles, CA 90045",3.5,31,33.9597551,-118.37906000000001,Mexican, ,90045
jqfzFuyGpf4pxoMp61ok0g,Tamale Man,"3320 N Eastern Ave  Los Angeles, CA 90032",4.0,209,34.0841,-118.17768000000001,Mexican, Breakfast & Brunch,90032
JqgpDCJblnuZqBC5QvgiPQ,Kiff Kafe,"12229 W Pico Blvd  Los Angeles, CA 90064",4.5,149,34.02881,-118.45205,Cafes, ,90064
JQh6WZfemR8HuWmMqF-uTA,Gogiya Bbq,"8948 Knott Ave  Buena Park, CA 90620",4.5,633,33.833737,-118.009316,Korean, Barbeque,90620
jqjR8zBq7AOBPPS1pteU4A,Smile Hotdog,"333 S Alameda St  Ste 104  Los Angeles, CA 90013",4.5,45,34.04448,-118.23823999999999,Hot Dogs, ,90013
JQnN_NUF_pHSnpNRq4sYDQ,Lolita Fast Food,"1955 N Rosemead Blvd  South El Monte, CA 91733",5.0,64,34.051466999999995,-118.06475800000001,Mexican, Breakfast & Brunch,91733
JqPozZtnBwu5zwKtykzsxQ,Louisiana Fried Chicken,"8843 Rosecrans Ave  Downey, CA 90242",2.5,29,33.904159,-118.144081,Chinese, Fast Food,90242
JqQARAQHHASV6uNcfCl8yw,The Gardens Casino,"11871 Carson St  Hawaiian Gardens, CA 90716",3.0,308,33.8323249,-118.08011100000002,Casinos, Sports Bars,90716
jQRuQA8nPXjOM1bKo4isXQ,Fosters Freeze,"2760 Fletcher Dr  Los Angeles, CA 90039",4.0,64,34.11112213,-118.25013729999999,Ice Cream & Frozen Yogurt, Burgers,90039
jqS3dVaCYeBehb3tOiWWbQ,Shin-Sen-Gumi Hakata Ramen - Little Tokyo,"132 S Central Ave  Los Angeles, CA 90012",4.0,2779,34.048285,-118.23895,Ramen, Japanese Curry,90012
JqSYFo0bRTuuII_-1eNFjQ,Brite Spot Mexican Restaurant,"615 S Pacific Ave  San Pedro, CA 90731",3.0,131,33.7384,-118.28826000000001,Mexican, ,90731
